INFO: [2021-02-05 23:03:40] genewalk.resources - Using /Users/yizhouyu/genewalk/resources as resource folder.
WARNING: [2021-02-05 23:03:41] genewalk.gene_lists - Could not get HGNC name for ID "","HGNCID"
INFO: [2021-02-06 01:27:13] genewalk.deepwalk - Walks for 1900/44205 nodes complete in 50.14s
INFO: [2021-02-06 01:27:14] genewalk.deepwalk - Walks for 2000/44205 nodes complete in 51.95s
INFO: [2021-02-06 01:27:16] genewalk.deepwalk - Walks for 2100/44205 nodes complete in 53.62s
INFO: [2021-02-06 01:27:18] genewalk.deepwalk - Walks for 2200/44205 nodes complete in 55.59s
INFO: [2021-02-06 01:27:20] genewalk.deepwalk - Walks for 2300/44205 nodes complete in 57.77s
INFO: [2021-02-06 01:27:23] genewalk.deepwalk - Walks for 2400/44205 nodes complete in 60.23s
INFO: [2021-02-06 01:27:25] genewalk.deepwalk - Walks for 2500/44205 nodes complete in 62.03s
INFO: [2021-02-06 01:27:26] genewalk.deepwalk - Walks for 2600/44205 nodes complete in 63.31s
INFO: [2021-02-06 01:27:27] genewalk.deepwalk - Walks for 2700/44205 nodes complete in 64.33s
INFO: [2021-02-06 01:27:28] genewalk.deepwalk - Walks for 2800/44205 nodes complete in 65.68s
INFO: [2021-02-06 01:27:29] genewalk.deepwalk - Walks for 2900/44205 nodes complete in 66.82s
INFO: [2021-02-06 01:27:30] genewalk.deepwalk - Walks for 3000/44205 nodes complete in 67.44s
INFO: [2021-02-06 01:27:31] genewalk.deepwalk - Walks for 3100/44205 nodes complete in 68.05s
INFO: [2021-02-06 01:27:31] genewalk.deepwalk - Walks for 3200/44205 nodes complete in 68.58s
INFO: [2021-02-06 01:27:32] genewalk.deepwalk - Walks for 3300/44205 nodes complete in 69.68s
INFO: [2021-02-06 01:27:35] genewalk.deepwalk - Walks for 3400/44205 nodes complete in 72.51s
INFO: [2021-02-06 01:27:39] genewalk.deepwalk - Walks for 3500/44205 nodes complete in 76.30s
INFO: [2021-02-06 01:27:40] genewalk.deepwalk - Walks for 3600/44205 nodes complete in 77.71s
INFO: [2021-02-06 01:27:41] genewalk.deepwalk - Walks for 3700/44205 nodes complete in 78.59s
INFO: [2021-02-06 01:27:42] genewalk.deepwalk - Walks for 3800/44205 nodes complete in 79.24s
INFO: [2021-02-06 01:27:42] genewalk.deepwalk - Walks for 3900/44205 nodes complete in 79.67s
INFO: [2021-02-06 01:27:43] genewalk.deepwalk - Walks for 4000/44205 nodes complete in 80.42s
INFO: [2021-02-06 01:27:44] genewalk.deepwalk - Walks for 4100/44205 nodes complete in 81.22s
INFO: [2021-02-06 01:27:44] genewalk.deepwalk - Walks for 4200/44205 nodes complete in 81.96s
INFO: [2021-02-06 01:27:46] genewalk.deepwalk - Walks for 4300/44205 nodes complete in 83.83s
INFO: [2021-02-06 01:27:47] genewalk.deepwalk - Walks for 4400/44205 nodes complete in 84.97s
INFO: [2021-02-06 01:27:49] genewalk.deepwalk - Walks for 4500/44205 nodes complete in 86.09s
INFO: [2021-02-06 01:27:49] genewalk.deepwalk - Walks for 4600/44205 nodes complete in 86.86s
INFO: [2021-02-06 01:27:51] genewalk.deepwalk - Walks for 4700/44205 nodes complete in 88.19s
INFO: [2021-02-06 01:27:51] genewalk.deepwalk - Walks for 4800/44205 nodes complete in 88.73s
INFO: [2021-02-06 01:27:52] genewalk.deepwalk - Walks for 4900/44205 nodes complete in 89.50s
INFO: [2021-02-06 01:27:52] genewalk.deepwalk - Walks for 5000/44205 nodes complete in 89.97s
INFO: [2021-02-06 01:27:53] genewalk.deepwalk - Walks for 5100/44205 nodes complete in 90.54s
INFO: [2021-02-06 01:27:54] genewalk.deepwalk - Walks for 5200/44205 nodes complete in 91.01s
INFO: [2021-02-06 01:27:54] genewalk.deepwalk - Walks for 5300/44205 nodes complete in 91.46s
INFO: [2021-02-06 01:27:54] genewalk.deepwalk - Walks for 5400/44205 nodes complete in 91.90s
INFO: [2021-02-06 01:27:55] genewalk.deepwalk - Walks for 5500/44205 nodes complete in 92.81s
INFO: [2021-02-06 01:27:56] genewalk.deepwalk - Walks for 5600/44205 nodes complete in 93.88s
INFO: [2021-02-06 01:27:58] genewalk.deepwalk - Walks for 5700/44205 nodes complete in 95.36s
INFO: [2021-02-06 01:27:58] genewalk.deepwalk - Walks for 5800/44205 nodes complete in 95.92s
INFO: [2021-02-06 01:27:59] genewalk.deepwalk - Walks for 5900/44205 nodes complete in 96.47s
INFO: [2021-02-06 01:28:00] genewalk.deepwalk - Walks for 6000/44205 nodes complete in 97.16s
INFO: [2021-02-06 01:28:01] genewalk.deepwalk - Walks for 6100/44205 nodes complete in 98.56s
INFO: [2021-02-06 01:28:03] genewalk.deepwalk - Walks for 6200/44205 nodes complete in 100.08s
